time bp_transducer_voltage trigger
2015-04-14-13-42-546000: 2.35797371469 -1.0
2015-04-14-13-42-562000: 2.34327005388 -1.0
2015-04-14-13-42-578000: 2.33677425852 -1.0
2015-04-14-13-42-593000: 2.32373231281 -1.0
2015-04-14-13-42-609000: 2.32030817262 -1.0
2015-04-14-13-42-625000: 2.31527267234 -1.0
2015-04-14-13-42-640000: 2.45284253991 -1.0
2015-04-14-13-42-656000: 2.71745807946 -1.0
2015-04-14-13-42-671000: 2.73624049549 -1.0
2015-04-14-13-42-687000: 2.80618359434 -1.0
2015-04-14-13-42-703000: 2.78881111838 2.79181111838
2015-04-14-13-42-718000: 2.76519462209 -1.0
2015-04-14-13-42-734000: 2.73971499068 -1.0
2015-04-14-13-42-750000: 2.71106299411 -1.0
2015-04-14-13-42-765000: 2.66443426154 -1.0
2015-04-14-13-42-781000: 2.5763633617 -1.0
2015-04-14-13-42-796000: 2.56327106098 -1.0
2015-04-14-13-42-812000: 2.53149705423 -1.0
2015-04-14-13-42-828000: 2.49524145224 -1.0
2015-04-14-13-42-843000: 2.48980311194 -1.0
2015-04-14-13-42-859000: 2.46633768065 -1.0
2015-04-14-13-42-875000: 2.44654816456 -1.0
2015-04-14-13-42-890000: 2.43239840878 -1.0
2015-04-14-13-42-906000: 2.41401883277 -1.0
2015-04-14-13-42-921000: 2.39584067677 -1.0
2015-04-14-13-42-937000: 2.38194269601 -1.0
2015-04-14-13-42-953000: 2.37237524548 -1.0
2015-04-14-13-42-968000: 2.35847726472 -1.0
2015-04-14-13-42-984000: 2.34996726925 -1.0
2015-04-14-13-42-000000: 2.35112543431 -1.0
2015-04-14-13-42-015000: 2.33732816355 -1.0
2015-04-14-13-42-031000: 2.33053023818 -1.0
2015-04-14-13-42-046000: 2.32015710761 -1.0
2015-04-14-13-42-062000: 2.35475099451 -1.0
2015-04-14-13-42-078000: 2.69424442318 -1.0
2015-04-14-13-42-093000: 2.7563321416 -1.0
2015-04-14-13-42-125000: 2.80578075432 -1.0
2015-04-14-13-42-125000: 2.80890276449 -1.0
2015-04-14-13-42-140000: 2.79676720882 2.79976720882
2015-04-14-13-42-171000: 2.75829598671 -1.0
2015-04-14-13-42-171000: 2.73140641523 -1.0
2015-04-14-13-42-187000: 2.70018631351 -1.0
2015-04-14-13-42-218000: 2.63316380482 -1.0
